wordpress.com,192.0.78.9
apple.com,17.172.224.47
sohu.com,220.181.90.240
yahoo.co.jp,182.22.59.229
hao123.com,180.149.131.31
windows.com,134.170.188.221
pps.tv,58.83.190.154
ebay.com,66.211.160.86
56.com,59.32.213.232
fc2.com,54.241.184.159
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.129.86
ifeng.com,210.51.19.61
paypal.com,66.211.169.3
bbc.co.uk,212.58.244.20
yandex.ru,93.158.134.8
amazon.com,176.32.98.166
mail.ru,94.100.180.200
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,115.182.52.231
tmall.com,110.75.115.70
flickr.com,69.147.76.173
myspace.com,216.178.46.224
4shared.com,208.88.224.136
skype.com,91.190.218.46
amazon.co.jp,54.240.250.0
dailymotion.com,195.8.215.136
imdb.com,72.21.210.29
facebook.com,173.252.120.6
youtube.com,216.58.192.46
orkut.com,74.125.129.85
linkedin.com,199.101.163.129
yahoo.com,206.190.36.45
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,23.101.196.141
baidu.com,123.125.114.144
microsoft.com,134.170.188.221
qq.com,125.39.240.113
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.7
blogspot.com,216.58.192.41
taobao.com,110.75.115.70
adobe.com,192.150.16.117
twitter.com,199.59.150.39
naver.com,202.131.30.11
goo.ne.jp,153.254.147.65
aol.com,64.12.89.186
sogou.com,220.181.124.3
tudou.com,123.126.98.147
xunlei.com,163.177.79.253
ameblo.jp,180.233.142.129
ask.com,66.235.120.127
